Land;Kategorie;Kriterium;Regionaler Status;Kommentar;Interpretierter Status;URL
;Endangered;;;;;http:/www.iucnredlist.org/species/133379776/133379782
;Endangered;;;;;http:/www.iucnredlist.org/species/133375958/133375960
;Endangered;;;;;http:/www.iucnredlist.org/species/133381243/133381250
;Endangered;;;;;http:/www.iucnredlist.org/species/133381278/133381280
;Endangered;;;;;http://www.flora.sa.gov.au/
;Endangered;;;;;http:/www.iucnredlist.org/species/133376651/133376653
;Endangered;;;;;http:/www.iucnredlist.org/species/137622716/137622720
;Endangered;;;;;http:/www.iucnredlist.org/species/137622734/137623474
;Endangered;;;;;http:/www.iucnredlist.org/species/133378844/133378846
;Endangered;;;;;http:/www.iucnredlist.org/species/133376181/133376183
;Endangered;;;;;http:/www.iucnredlist.org/species/133373462/133373464
;Endangered;;;;;http:/www.iucnredlist.org/species/133379542/133379544
;Endangered;;;;;http:/www.iucnredlist.org/species/133379634/133379636
;Endangered;;;;;http:/www.iucnredlist.org/species/133379654/133379656
;Endangered;;;;;http:/www.iucnredlist.org/species/133379664/133379666
;Endangered;;;;;http:/www.iucnredlist.org/species/133372694/133372696
;Endangered;;;;;http:/www.iucnredlist.org/species/133376941/133376943
;Endangered;;;;;http:/www.iucnredlist.org/species/133377093/133377095
;Endangered;;;;;http:/www.iucnredlist.org/species/133374356/133374358
;Endangered;;;;;http:/www.iucnredlist.org/species/133374396/133374398
;Endangered;;;;;http:/www.iucnredlist.org/species/133374431/133374433
;Endangered;;;;;http:/www.iucnredlist.org/species/133377279/133377281
;Endangered;;;;;http:/www.iucnredlist.org/species/133377485/133377487
;Endangered;;;;;http:/www.iucnredlist.org/species/133377516/133377518
;Endangered;;;;;http:/www.iucnredlist.org/species/133373412/133373414
;Endangered;;;;;http:/www.iucnredlist.org/species/133376286/133376288
;Endangered;;;;;http:/www.iucnredlist.org/species/133373402/133373404
;Endangered;;;;;https://www.iucnredlist.org/species/96443977/96443979
;Endangered;;;;;https://www.iucnredlist.org/species/96444380/96444404
;Endangered;;;;;http:/www.iucnredlist.org/species/173619/1392324
;Endangered;;;;;https://www.iucnredlist.org/species/173519/169279226
;Endangered;;;;;http:/www.iucnredlist.org/species/173809/156960753
;Endangered;;;;;http:/www.iucnredlist.org/species/173746/1397739
;Endangered;;;;;https://www.iucnredlist.org/species/173434/1385012
;Endangered;;;;;http:/www.iucnredlist.org/species/173444/156962121
;Endangered;;;;;https://www.iucnredlist.org/species/88514279/169492809
;Endangered;;;;;http:/www.iucnredlist.org/species/100373982/100374006
;Endangered;;;;;http:/www.iucnredlist.org/species/173500/1387682
;Endangered;;;;;http:/www.iucnredlist.org/species/100367252/100367310
;Endangered;;;;;http:/www.iucnredlist.org/species/173865/1402539
;Endangered;;;;;http:/www.iucnredlist.org/species/35020/156960607
;Endangered;;;;;https://www.iucnredlist.org/species/38346/2868744
;Endangered;;;;;https://www.iucnredlist.org/species/173486/1387076
;Endangered;;;;;http:/www.iucnredlist.org/species/173856/1402098
;Endangered;;;;;http:/www.iucnredlist.org/species/35192/156960317
;Endangered;;;;;https://www.iucnredlist.org/species/112673158/162545894
;Endangered;;;;;http:/www.iucnredlist.org/species/173760/1398278
;Endangered;;;;;https://www.iucnredlist.org/species/173760/169492618
;Endangered;;;;;http:/www.iucnredlist.org/species/100371384/100371447
;Endangered;;;;;http:/www.iucnredlist.org/species/173436/1385070
;Endangered;;;;;https://www.iucnredlist.org/species/173436/169494019
;Endangered;;;;;http:/www.iucnredlist.org/species/173431/1384925
;Endangered;;;;;http:/www.iucnredlist.org/species/173820/1400823
;Endangered;;;;;https://www.iucnredlist.org/species/173820/173544623
;Endangered;;;;;http:/www.iucnredlist.org/species/173789/1399601
;Endangered;;;;;https://www.iucnredlist.org/species/173706/1395959
;Endangered;;;;;https://www.iucnredlist.org/species/173441/169290545
;Endangered;;;;;https://www.iucnredlist.org/species/173888/169279981
;Endangered;;;;;http:/www.iucnredlist.org/species/173833/1401314
;Endangered;;;;;https://www.iucnredlist.org/species/173582/169280102
;Endangered;;;;;http:/www.iucnredlist.org/species/174004/1409095
;Endangered;;;;;https://www.iucnredlist.org/species/174004/169494221
;Endangered;;;;;http:/www.iucnredlist.org/species/173847/1401803
;Endangered;;;;;http:/www.iucnredlist.org/species/173573/156960461
;Endangered;;;;;https://www.iucnredlist.org/species/173766/169297960
;Endangered;;;;;http://freshfromflorida.s3.amazonaws.com/fl-endangered-plants.pdf
;Endangered;;;;;https://www.iucnredlist.org/species/30318/95804470
;Endangered;;;;;http://www.nationalredlist.org/species-information/?speciesID=112489
;Endangered;;;;;https://www.iucnredlist.org/species/36220/67416426
;Endangered;;;;;http:/www.iucnredlist.org/species/32919/2828115
;Endangered;;;;;https://www.iucnredlist.org/species/62022319/62022321
;Endangered;;;;;https://www.iucnredlist.org/species/145395305/145904059
;Endangered;;;;;https://www.iucnredlist.org/species/145395447/146086890
;Endangered;;;;;http:/www.iucnredlist.org/species/145395538/147387086
;Endangered;;;;;http:/www.iucnredlist.org/species/145395548/147387623
;Endangered;;;;;https://www.iucnredlist.org/species/145395580/145913033
;Endangered;;;;;https://www.iucnredlist.org/species/145395671/146187661
;Endangered;;;;;https://www.iucnredlist.org/species/38288/67466346
;Endangered;;;;;http:/www.iucnredlist.org/species/22483872/22485011
;Endangered;;;;;https://www.iucnredlist.org/species/38304/67469973
;Endangered;;;;;https://www.iucnredlist.org/species/62022637/62022639
;Endangered;;;;;https://www.iucnredlist.org/species/38307/67470203
;Endangered;;;;;https://www.iucnredlist.org/species/36224/67470851
;LRnt;;;;;None
;Critically Endangered;;;;;None
;Critically Endangered;;;;;https://www.iucnredlist.org/species/32957/67799410
;Critically Endangered;;;;;https://www.iucnredlist.org/species/103451090/103452327
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/193850/2285958
;Critically Endangered;;;;;https://www.iucnredlist.org/species/193866/2287519
;Critically Endangered;;;;;https://www.iucnredlist.org/species/33003/2829580
;Critically Endangered;;;;;https://florabase.dpaw.wa.gov.au/
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133374847/133374849
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133378456/133378458
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133378803/133378805
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/147998306/148583980
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133373832/133373834
